"행정구역","2016년07월_총인구수","2016년07월_세대수","2016년07월_세대당 인구","2016년07월_남자 인구수","2016년07월_여자 인구수","2016년07월_남여 비율","2016년08월_총인구수","2016년08월_세대수","2016년08월_세대당 인구","2016년08월_남자 인구수","2016년08월_여자 인구수","2016년08월_남여 비율","2016년09월_총인구수","2016년09월_세대수","2016년09월_세대당 인구","2016년09월_남자 인구수","2016년09월_여자 인구수","2016년09월_남여 비율","2016년10월_총인구수","2016년10월_세대수","2016년10월_세대당 인구","2016년10월_남자 인구수","2016년10월_여자 인구수","2016년10월_남여 비율","2016년11월_총인구수","2016년11월_세대수","2016년11월_세대당 인구","2016년11월_남자 인구수","2016년11월_여자 인구수","2016년11월_남여 비율","2016년12월_총인구수","2016년12월_세대수","2016년12월_세대당 인구","2016년12월_남자 인구수","2016년12월_여자 인구수","2016년12월_남여 비율","2017년01월_총인구수","2017년01월_세대수","2017년01월_세대당 인구","2017년01월_남자 인구수","2017년01월_여자 인구수","2017년01월_남여 비율","2017년02월_총인구수","2017년02월_세대수","2017년02월_세대당 인구","2017년02월_남자 인구수","2017년02월_여자 인구수","2017년02월_남여 비율","2017년03월_총인구수","2017년03월_세대수","2017년03월_세대당 인구","2017년03월_남자 인구수","2017년03월_여자 인구수","2017년03월_남여 비율","2017년04월_총인구수","2017년04월_세대수","2017년04월_세대당 인구","2017년04월_남자 인구수","2017년04월_여자 인구수","2017년04월_남여 비율","2017년05월_총인구수","2017년05월_세대수","2017년05월_세대당 인구","2017년05월_남자 인구수","2017년05월_여자 인구수","2017년05월_남여 비율","2017년06월_총인구수","2017년06월_세대수","2017년06월_세대당 인구","2017년06월_남자 인구수","2017년06월_여자 인구수","2017년06월_남여 비율"
"경기도 평택시 중앙동(4122051000)","46,210","17,358","          2.66","23,044","23,166","          0.99","46,092","17,349","          2.66","22,991","23,101","          1.00","46,084","17,387","          2.65","22,981","23,103","          0.99","46,003","17,383","          2.65","22,958","23,045","          1.00","45,983","17,382","          2.65","22,953","23,030","          1.00","46,054","17,449","          2.64","23,021","23,033","          1.00","45,937","17,472","          2.63","22,970","22,967","          1.00","45,929","17,549","          2.62","22,995","22,934","          1.00","46,029","17,753","          2.59","23,074","22,955","          1.01","46,069","17,829","          2.58","23,114","22,955","          1.01","46,160","17,923","          2.58","23,173","22,987","          1.01","46,183","18,004","          2.57","23,204","22,979","          1.01"
"경기도 평택시 서정동(4122052000)","30,806","13,308","          2.31","15,409","15,397","          1.00","30,752","13,328","          2.31","15,395","15,357","          1.00","30,666","13,331","          2.30","15,339","15,327","          1.00","30,722","13,389","          2.29","15,374","15,348","          1.00","30,581","13,367","          2.29","15,315","15,266","          1.00","30,502","13,375","          2.28","15,275","15,227","          1.00","30,463","13,399","          2.27","15,252","15,211","          1.00","30,437","13,427","          2.27","15,235","15,202","          1.00","30,352","13,439","          2.26","15,210","15,142","          1.00","30,307","13,429","          2.26","15,207","15,100","          1.01","30,236","13,448","          2.25","15,176","15,060","          1.01","30,192","13,434","          2.25","15,157","15,035","          1.01"
"경기도 평택시 송탄동(4122053500)","15,869","5,963","          2.66","8,211","7,658","          1.07","15,856","5,966","          2.66","8,200","7,656","          1.07","15,842","5,963","          2.66","8,191","7,651","          1.07","15,770","5,935","          2.66","8,168","7,602","          1.07","15,777","5,948","          2.65","8,190","7,587","          1.08","15,767","5,963","          2.64","8,180","7,587","          1.08","15,707","5,956","          2.64","8,149","7,558","          1.08","15,664","5,948","          2.63","8,148","7,516","          1.08","15,665","5,975","          2.62","8,152","7,513","          1.09","15,669","5,986","          2.62","8,158","7,511","          1.09","15,640","5,997","          2.61","8,153","7,487","          1.09","15,637","5,997","          2.61","8,143","7,494","          1.09"
"경기도 평택시 지산동(4122055000)","11,143","5,266","          2.12","5,681","5,462","          1.04","11,200","5,308","          2.11","5,722","5,478","          1.04","11,210","5,327","          2.10","5,727","5,483","          1.04","11,245","5,345","          2.10","5,743","5,502","          1.04","11,284","5,368","          2.10","5,782","5,502","          1.05","11,326","5,386","          2.10","5,795","5,531","          1.05","11,304","5,394","          2.10","5,789","5,515","          1.05","11,289","5,398","          2.09","5,791","5,498","          1.05","11,375","5,449","          2.09","5,838","5,537","          1.05","11,396","5,467","          2.08","5,863","5,533","          1.06","11,441","5,492","          2.08","5,878","5,563","          1.06","11,488","5,543","          2.07","5,889","5,599","          1.05"
"경기도 평택시 송북동(4122056000)","23,050","8,975","          2.57","11,448","11,602","          0.99","23,085","8,981","          2.57","11,454","11,631","          0.98","23,138","9,017","          2.57","11,491","11,647","          0.99","23,125","9,017","          2.56","11,479","11,646","          0.99","23,149","9,035","          2.56","11,472","11,677","          0.98","23,210","9,063","          2.56","11,507","11,703","          0.98","23,202","9,069","          2.56","11,515","11,687","          0.99","23,171","9,060","          2.56","11,496","11,675","          0.98","23,162","9,101","          2.54","11,485","11,677","          0.98","23,156","9,112","          2.54","11,476","11,680","          0.98","23,174","9,125","          2.54","11,495","11,679","          0.98","23,259","9,162","          2.54","11,524","11,735","          0.98"
"경기도 평택시 신장1동(4122057000)","6,594","3,396","          1.94","3,164","3,430","          0.92","6,601","3,409","          1.94","3,163","3,438","          0.92","6,597","3,414","          1.93","3,162","3,435","          0.92","6,584","3,422","          1.92","3,153","3,431","          0.92","6,578","3,426","          1.92","3,151","3,427","          0.92","6,579","3,437","          1.91","3,152","3,427","          0.92","6,562","3,448","          1.90","3,144","3,418","          0.92","6,608","3,462","          1.91","3,170","3,438","          0.92","6,612","3,465","          1.91","3,167","3,445","          0.92","6,630","3,483","          1.90","3,177","3,453","          0.92","6,613","3,492","          1.89","3,161","3,452","          0.92","6,604","3,489","          1.89","3,159","3,445","          0.92"
"경기도 평택시 신장2동(4122058000)","6,732","3,583","          1.88","3,304","3,428","          0.96","6,726","3,586","          1.88","3,291","3,435","          0.96","6,715","3,580","          1.88","3,286","3,429","          0.96","6,692","3,574","          1.87","3,285","3,407","          0.96","6,679","3,570","          1.87","3,272","3,407","          0.96","6,617","3,553","          1.86","3,238","3,379","          0.96","6,590","3,556","          1.85","3,222","3,368","          0.96","6,598","3,569","          1.85","3,228","3,370","          0.96","6,534","3,545","          1.84","3,194","3,340","          0.96","6,498","3,532","          1.84","3,193","3,305","          0.97","6,453","3,509","          1.84","3,161","3,292","          0.96","6,447","3,515","          1.83","3,159","3,288","          0.96"
"경기도 평택시 신평동(4122059000)","24,461","11,071","          2.21","12,171","12,290","          0.99","24,397","11,082","          2.20","12,140","12,257","          0.99","24,391","11,095","          2.20","12,126","12,265","          0.99","24,451","11,156","          2.19","12,162","12,289","          0.99","24,455","11,189","          2.19","12,181","12,274","          0.99","24,537","11,220","          2.19","12,227","12,310","          0.99","24,550","11,241","          2.18","12,212","12,338","          0.99","24,510","11,278","          2.17","12,220","12,290","          0.99","24,558","11,314","          2.17","12,230","12,328","          0.99","24,545","11,325","          2.17","12,241","12,304","          0.99","24,572","11,346","          2.17","12,292","12,280","          1.00","24,621","11,393","          2.16","12,338","12,283","          1.00"
"경기도 평택시 원평동(4122060000)","12,604","5,619","          2.24","6,430","6,174","          1.04","12,580","5,620","          2.24","6,407","6,173","          1.04","12,612","5,634","          2.24","6,427","6,185","          1.04","12,599","5,647","          2.23","6,430","6,169","          1.04","12,628","5,670","          2.23","6,449","6,179","          1.04","12,600","5,671","          2.22","6,438","6,162","          1.04","12,503","5,636","          2.22","6,391","6,112","          1.05","12,429","5,662","          2.20","6,352","6,077","          1.05","12,423","5,710","          2.18","6,355","6,068","          1.05","12,427","5,725","          2.17","6,357","6,070","          1.05","12,429","5,741","          2.16","6,358","6,071","          1.05","12,446","5,754","          2.16","6,361","6,085","          1.05"
"경기도 평택시 통복동(4122061000)","4,588","2,279","          2.01","2,316","2,272","          1.02","4,546","2,268","          2.00","2,301","2,245","          1.02","4,519","2,254","          2.00","2,285","2,234","          1.02","4,465","2,239","          1.99","2,248","2,217","          1.01","4,445","2,222","          2.00","2,236","2,209","          1.01","4,452","2,225","          2.00","2,242","2,210","          1.01","4,461","2,236","          2.00","2,256","2,205","          1.02","4,446","2,236","          1.99","2,262","2,184","          1.04","4,434","2,235","          1.98","2,253","2,181","          1.03","4,402","2,224","          1.98","2,236","2,166","          1.03","4,446","2,244","          1.98","2,255","2,191","          1.03","4,429","2,238","          1.98","2,251","2,178","          1.03"
"경기도 평택시 비전1동(4122062000)","43,137","17,448","          2.47","21,763","21,374","          1.02","44,270","17,812","          2.49","22,355","21,915","          1.02","44,712","17,984","          2.49","22,613","22,099","          1.02","45,109","18,156","          2.48","22,830","22,279","          1.02","45,237","18,206","          2.48","22,895","22,342","          1.02","45,288","18,248","          2.48","22,925","22,363","          1.03","46,416","18,613","          2.49","23,491","22,925","          1.02","47,785","19,070","          2.51","24,213","23,572","          1.03","48,274","19,285","          2.50","24,464","23,810","          1.03","48,541","19,390","          2.50","24,591","23,950","          1.03","48,909","19,537","          2.50","24,772","24,137","          1.03","49,085","19,606","          2.50","24,856","24,229","          1.03"
"경기도 평택시 비전2동(4122063000)","57,624","20,794","          2.77","28,834","28,790","          1.00","57,597","20,806","          2.77","28,840","28,757","          1.00","57,685","20,861","          2.77","28,888","28,797","          1.00","57,936","20,932","          2.77","29,028","28,908","          1.00","58,129","21,043","          2.76","29,134","28,995","          1.00","58,536","21,203","          2.76","29,356","29,180","          1.01","59,181","21,458","          2.76","29,690","29,491","          1.01","59,577","21,681","          2.75","29,923","29,654","          1.01","59,740","21,808","          2.74","30,017","29,723","          1.01","59,866","21,867","          2.74","30,071","29,795","          1.01","59,894","21,915","          2.73","30,092","29,802","          1.01","60,064","22,011","          2.73","30,177","29,887","          1.01"
"경기도 평택시 세교동(4122064000)","22,527","8,266","          2.73","11,403","11,124","          1.03","22,469","8,274","          2.72","11,374","11,095","          1.03","22,380","8,259","          2.71","11,330","11,050","          1.03","22,417","8,277","          2.71","11,356","11,061","          1.03","22,419","8,294","          2.70","11,350","11,069","          1.03","22,429","8,307","          2.70","11,356","11,073","          1.03","22,279","8,275","          2.69","11,279","11,000","          1.03","22,101","8,239","          2.68","11,196","10,905","          1.03","22,069","8,242","          2.68","11,176","10,893","          1.03","22,062","8,251","          2.67","11,156","10,906","          1.02","22,029","8,270","          2.66","11,173","10,856","          1.03","22,010","8,292","          2.65","11,172","10,838","          1.03"
